Cliente - Nome,Cliente - CNPJ,Cliente - Estado,Cliente - Cidade,rua,numero,bairro,cep (8 digitos),CONCAT,enderecoFormatado,lat,lng
EQUIMACON LTDA,64268451000278,MG,ITABIRA,R PLATINA,236,MAJOR LAGE DE BAIXO,35.900-217,"R PLATINA, 236, MAJOR LAGE DE BAIXO, ITABIRA","R. Platina, 236 - Maj. Lage de Baixo, Itabira - MG, 35900-217, Brazil",-19.6325229,-43.2283243
HELIO DUTRA CONSTRUCAO E ACABAMENTO LTDA,13731411000107,RJ,TRES RIOS,R PREFEITO JOAQUIM JOSE FERREIRA,188,CENTRO,25.804-020,"R PREFEITO JOAQUIM JOSE FERREIRA, 188, CENTRO, TRES RIOS","R. Pref. Joaquim José Ferreira, 188 - Centro, Três Rios - RJ, 25804-020, Brazil",-22.1176613,-43.2117469
CONSTRUSUL DE RESENDE MAT CONST LTDA ME,14931452000100,RJ,RESENDE,AV DOUTOR SEBASTIAO MOREIRA NETO,235,NOVA RESENDE,27.521-752,"AV DOUTOR SEBASTIAO MOREIRA NETO, 235, NOVA RESENDE, RESENDE","Avenida Doutor Sebastião Moreira Neto, 250 Comercial Nova Resende - Resende, RJ, 27521-752, Brazil",-22.4841841,-44.4921471
MORELLI COMERCIO MAT DE CONSTRUCAO LTDA,94169331000101,RS,ESTRELA,R CEL.BRITO,950,ORIENTAL,95.880-000,"R CEL.BRITO, 950, ORIENTAL, ESTRELA","R. Cel. Brito, 950 - Oriental, Estrela - RS, 95880-000, Brazil",-29.4969763,-51.9571276
CASA UNICA MATERIAIS DE CONSTRUCAO LTDA,25618174000143,MG,BELO HORIZONTE,AV PRESIDENTE CARLOS LUZ,2000,APARECIDA SETIMA SECAO,31.250-810,"AV PRESIDENTE CARLOS LUZ, 2000, APARECIDA SETIMA SECAO, BELO HORIZONTE","Av. Presidente Carlos Luz, 2000 - Alto Caiçaras, Belo Horizonte - MG, 31250-810, Brazil",-19.8916667,-43.9647222
CONSTRUSCHORR MATERIAIS DE CONSTRUCAO LTDA,689431000107,RS,LAJEADO,RST 453,KM 28,FLORESTA,95.900-010,"RST 453, KM 28, FLORESTA, LAJEADO","Rodovia RST 453, Km 28, s/n - Floresta, Lajeado - RS, 95900-000, Brazil",-29.4752407,-52.0088157
TAKARA TAKARA IRMAO LTDA,60836244000130,SP,SAO PAULO,AV ITABERABA,3844,ITABERABA,02.739-000,"AV ITABERABA, 3844, ITABERABA, SAO PAULO","Av. Itaberaba, 3844 - Itaberaba, São Paulo - SP, 02739-000, Brazil",-23.4771355,-46.6802104
ULETE MOTTA E CIA LTDA,24231276000149,MG,JOAO MONLEVADE,AV GETULIO VARGAS,5166,CARNEIRINHOS,35.930-003,"AV GETULIO VARGAS, 5166, CARNEIRINHOS, JOAO MONLEVADE","Av. Getúlio Vargas, 5166 - Nossa Sra. da Conceicao, João Monlevade - MG, 35930-001, Brazil",-19.8078867,-43.1772514
MUD MATERIAIS DE CONSTRUCAO LTDA,33082249000142,RJ,RIO DE JANEIRO,R MARQUES DE SAO VICENTE,9,GAVEA,22.451-041,"R MARQUES DE SAO VICENTE, 9, GAVEA, RIO DE JANEIRO","R. Marquês de São Vicente, 9 - Gávea, Rio de Janeiro - RJ, 22451-041, Brazil",-22.9751506,-43.2269209
ADFER MATS DE CONSTR LTDA,29092269000127,RJ,PETROPOLIS,EST UNIAO E INDUSTRIA,10.959,ITAIPAVA,25.730-740,"EST UNIAO E INDUSTRIA, 10959, ITAIPAVA, PETROPOLIS","Estr. União e Indústria, 10959 - Itaipava, Petrópolis - RJ, 25730-740, Brazil",-22.394377,-43.1324135
CONSTRU RIBEIRO COM MAT CONST,55953582000112,SP,BARRETOS,AV MATO GROSSO,695,BELA VISTA,14.780-735,"AV MATO GROSSO, 695, BELA VISTA, BARRETOS","Av. Mato Grosso, 695 - Bela Vista, Barretos - SP, 14780-735, Brazil",-20.5452276,-48.56786049999999
APOIO RBS COMERCIAL LTDA,2381476000145,SP,PERUIBE,AV LUCIANO DE BONA,1930,PARQUE TURISTICO,11.750-000,"AV LUCIANO DE BONA, 1930, PARQUE TURISTICO, PERUIBE","Av. Luciano de Bona, 1930 - Vila Peruibe, Peruíbe - SP, 11750-000, Brazil",-24.281386,-46.95965700000001
PEDRAO PVC MATS P CONSTR LTDA,60344348000128,SP,RIBEIRAO PRETO,R MARTINICO PRADO,897,VILA TIBERIO,14.050-050,"R MARTINICO PRADO, 897, VILA TIBERIO, RIBEIRAO PRETO","R. Martinico Prado, 897 - Vila Tiberio, Ribeirão Preto - SP, 14050-050, Brazil",-21.1676671,-47.8199281
ESTORIL NITEROI MATS CONSTR LTDA ME,91673000102,RJ,NITEROI,R PRESIDENTE BACKER,188,ICARAI,24.220-041,"R PRESIDENTE BACKER, 188, ICARAI, NITEROI","R. Pres. Backer, 188 - Icaraí, Niterói - RJ, 24220-041, Brazil",-22.9031442,-43.1095723
