"Cliente - Nome";"Cliente - CNPJ";"Cliente - Estado";"Cliente - Cidade";"rua";"numero";"bairro";"cep (8 digitos)";"CONCAT"
"EQUIMACON LTDA";"64268451000278";"MG";"ITABIRA";"R PLATINA";236;"MAJOR LAGE DE BAIXO";"35.900-217";"R PLATINA, 236, MAJOR LAGE DE BAIXO, ITABIRA"
"HELIO DUTRA CONSTRUCAO E ACABAMENTO LTDA";"13731411000107";"RJ";"TRES RIOS";"R PREFEITO JOAQUIM JOSE FERREIRA";188;"CENTRO";"25.804-020";"R PREFEITO JOAQUIM JOSE FERREIRA, 188, CENTRO, TRES RIOS"
"CONSTRUSUL DE RESENDE MAT CONST LTDA ME";"14931452000100";"RJ";"RESENDE";"AV DOUTOR SEBASTIAO MOREIRA NETO";235;"NOVA RESENDE";"27.521-752";"AV DOUTOR SEBASTIAO MOREIRA NETO, 235, NOVA RESENDE, RESENDE"
"MORELLI COMERCIO MAT DE CONSTRUCAO LTDA";"94169331000101";"RS";"ESTRELA";"R CEL.BRITO";950;"ORIENTAL";"95.880-000";"R CEL.BRITO, 950, ORIENTAL, ESTRELA"
"CASA UNICA MATERIAIS DE CONSTRUCAO LTDA";"25618174000143";"MG";"BELO HORIZONTE";"AV PRESIDENTE CARLOS LUZ";2000;"APARECIDA SETIMA SECAO";"31.250-810";"AV PRESIDENTE CARLOS LUZ, 2000, APARECIDA SETIMA SECAO, BELO HORIZONTE"
"CONSTRUSCHORR MATERIAIS DE CONSTRUCAO LTDA";"689431000107";"RS";"LAJEADO";"RST 453";"KM 28";"FLORESTA";"95.900-010";"RST 453, KM 28, FLORESTA, LAJEADO"
"TAKARA TAKARA IRMAO LTDA";"60836244000130";"SP";"SAO PAULO";"AV ITABERABA";3844;"ITABERABA";"02.739-000";"AV ITABERABA, 3844, ITABERABA, SAO PAULO"
"ULETE MOTTA E CIA LTDA";"24231276000149";"MG";"JOAO MONLEVADE";"AV GETULIO VARGAS";5166;"CARNEIRINHOS";"35.930-003";"AV GETULIO VARGAS, 5166, CARNEIRINHOS, JOAO MONLEVADE"
"MUD MATERIAIS DE CONSTRUCAO LTDA";"33082249000142";"RJ";"RIO DE JANEIRO";"R MARQUES DE SAO VICENTE";9;"GAVEA";"22.451-041";"R MARQUES DE SAO VICENTE, 9, GAVEA, RIO DE JANEIRO"
"ADFER MATS DE CONSTR LTDA";"29092269000127";"RJ";"PETROPOLIS";"EST UNIAO E INDUSTRIA";10.959;"ITAIPAVA";"25.730-740";"EST UNIAO E INDUSTRIA, 10959, ITAIPAVA, PETROPOLIS"
