"Cliente - Nome","Cliente - CNPJ","Cliente - Estado","Cliente - Cidade","rua"
"AGUILERA OLIVEIRA FERRAMENTAS E PROTECAO LTDA ME","04289731000150","GO","GOIANIA","ALAMEDA  CASCAVEL,844-QUADRA CH LOTE 13,74210-125"
"ARENOR DISTR E CONSTRUCAO LTDA","16823179000117","RS","SAO MARTINHO","EST RS 210,55-SL 02 A,98690-000"
"ASSOCOM SOCIEDADE ANONIMA","15023257000136","SC","JOINVILLE","AV QUINZE DE NOVEMBRO,7581-,89237-001"
"BARKEV MATERIAIS PARA CONSTRUCOES LTDA","60406725000700","SP","OSASCO","AV  DOS AUTONOMISTAS,6161-,06194-050"
"BARKEV MATERIAIS PARA CONSTRUCOES LTDA","60406725000882","SP","CARAPICUIBA","AV COMENDADOR DANTE CARRARO,135-,06396-000"
"BARKEV MATERIAIS PARA CONSTRUCOES LTDA","60406725000610","SP","CARAPICUIBA","AV INOCENCIO SERAFICO,1717-,06380-021"
"BARKEV MATERIAIS PARA CONSTRUCOES LTDA","60406725000106","SP","OSASCO","R  ANTONIO BERNARDO COUTINHO,135-139,06013-050"
"BLUE TINTAS LTDA","01050029001112","BA","LAURO DE FREITAS","RD,452-QD 0001 LT 14E15,42700-000"
"BLUE TINTAS LTDA","01050029000221","BA","LAURO DE FREITAS","AV  SANTOS DUMONT,3004-,42700-000"
"CAETANO DE TATUI MATS PARA  CONSTR LTDA","00173353000517","SP","TATUI","R PADRE ANACLETO DIAS BATISTA,225-,18276-660"
"CARAJAS MATERIAL DE CONSTRUCAO LTDA","03656804000727","AL","RIO LARGO","LOT SANTA MARIA,194-,57100-000"
"CASAS DA AGUA MATS PARA CONSTRUÇAO LTDA","13501187000159","SC","SAO JOSE","AV PRES KENNEDY,1284-,88102-400"
"CASSOL MATERIAIS DE CONSTRUCAO LTDA","75400218000809","SC","SAO JOSE","ROD BR 101 KM 206,SN-ACESSO VIA EXPRESSA,88102-700"
"CASSOL MATERIAIS DE CONSTRUCAO LTDA","75400218002267","RS","CANOAS","AV GUILHERME SCHELL,130-,92200-148"
"CASSOL MATERIAIS DE CONSTRUCAO LTDA","75400218001104","PR","CURITIBA","R PROFESSORA MARIA DE ASSUMPCAO,215-,81630-040"
"CENTRAL TINTAS ITAJUBA LTDA EPP","11396061000136","MG","ITAJUBA","R JOSE DIAS COELHO,164-,37505-148"
"COMERCIAL DE TINTAS DE MACHADO LTDA","53425237000180","SP","OURINHOS","AV JACINTO DE SA,697-,19911-720"
"COMERCIAL IVAIPORA LTDA","75274423001413","PR","IVAIPORA","AC SECUNDARIO A BR,466-KM 1 SN,86870-000"
"COMERCIAL MARANGUAPE LTDA","01625371000202","RN","NATAL","R  TRES LAGOAS,399-LAGOA AZUL,59139-572"
"COML DE FERRAGENS SAO LUIS LTDA","15931157000299","BA","SANTO ANTONIO DE JESUS","AV LUIS VIANA,101-,44571-019"
"CONSTRUCOLOR COM DE TINTAS LTDA","78515624000139","SC","BLUMENAU","AV  LISBOA,193-,89052-600"
"COOPERUTIL COOP FORN MAT CONS P FUNDO LTDA","14421700000164","RS","COXILHA","ROD EST RS 135,6800-,99145-000"
"CUIABANA COM DE TINTAS E FER LTDA ME","10526684000113","MT","CUIABA","AV MANOEL JOSE DE ARRUDA,1000-BEIRA RIO,78070-305"
"DECORTEC TINTAS LTDA EPP","10473089000248","SC","BALNEARIO CAMBORIU","R 970,931-,88330-588"
"FERNANDES & GONCALVES DE ASSIS LTDA ME","66639733000189","SP","ASSIS","AV MARCHAL DEODORO,580-,19807-155"
"GRAFULIN PESSANO & CIA LTDA","98411416000105","RS","URUGUAIANA","AV DUQUE DE CAXIAS,2757-,97500-183"
"HOME CENTER JACARE MATERIAL DE CONSTRUCOES E MADEIRAS LTDA","10600446000100","MA","SAO LUIS","AV  DANIEL DE LA TOUCHE,1-GL 1,65074-115"
"IMPORTADORA OPLIMA LTDA","04945481000169","PA","BELEM","R  MUNICIPALIDADE,1157-TER,66050-350"
"IRMAOS QUEIROZ LTDA","13509849000137","BA","SALVADOR","AV  SAN MARTIN,244-,40355-000"
"JOMAR TINTAS LTDA","65121287000153","MG","UNAI","R PREF JOAO COSTA,1041-,38610-000"
"LOJAS DE DEPARTAMENTOS MILIUM LTDA","83240333000115","SC","JOINVILLE","AV SANTOS DUMONT,4221-,89219-730"
"NICOM COM DE MATS PARA CONSTRUCOES LTDA","60403110000630","SP","SAO PAULO","R DR ABELARDO VERGUEIRO CESAR,2-,04635-080"
"OUTLET CORAL COMERCIO DE TINTAS LTDA","31099440000252","BA","LAURO DE FREITAS","AV SANTOS DUMONT,1926-LJ 10,42702-400"
"P H E TINTAS HIDRAULICA E ELETRICA LTDA","02364587001387","SP","CAMPINAS","R DARIO FREIRE MEIRELLES,275-,13082-045"
"PALACIO DAS TINTAS DE MARILIA LTDA","56784812000120","SP","MARILIA","AV  TIRADENTES,782-,17519-000"
"PERUZZO TINTAS LTDA","93093565000575","RS","GRAVATAI","R YOLI BITENCOURT,1337-,94035-181"
"PLANALTO TINTAS LTDA","26390229000173","MG","BELO HORIZONTE","AV DR CRISTIANO GUIMARAES,1972-,31720-300"
"POTIGUAR MATS DE CONSTRUCAO LTDA","06778591000702","MA","SAO LUIS","AV DOS FRANCESES,35-B,65055-085"
"REDE CONSTRUIR CENTRAL DE COMPRAS LTDA","23726733000103","SC","GASPAR","R BRUNO CELSO ZIMMERMANN,100-GP 3,89110-000"
"ROCHA 8 TINTAS E EQUIPAMENTOS LTDA EPP","13585764000138","RS","GRAVATAI","AV ELY CORREA,630-,94185-452"
"RONSY COM DE MATS DE CONSTR LTDA","09525380000152","RO","PORTO VELHO","AV GOV JORGE TEIXEIRA,2105-,76803-895"
"RONSY COMERCIAL DE FERRAGENS LTDA","16920620000189","AC","EPITACIOLANDIA","AV  AMAZONAS,390-,69934-000"
"TINTAS ROCHA LTDA","02340825000261","SC","FLORIANOPOLIS","R CEL PEDRO DEMORO,1780-,88075-300"
"TINTAS VILA VELHA EIRELI","34594595000253","ES","SERRA","ROD NORTE SUL,SN-LJ 2,29168-078"
"TINTAS VILA VELHA EIRELI","34594595000172","ES","VILA VELHA","AV CARLOS LINDENBERG,2155-,29108-075"
"TINTOLAC COMERCIAL LTDA","36371920000163","ES","SERRA","ROD GOV MARIO COVAS,2930-KM 269.1 LT15 QDR7,29164-038"
"TINTOMAX COMERCIO DE TINTAS LTDA","04464847000188","SC","JOINVILLE","AV  GETULIO VARGAS,1169-,89202-295"
"TOK RETOK TINTAS LTDA","00765788000127","MA","SAO LUIS","AV JERONIMO DE ALBUQUERQUE,58-,65051-210"
"VOTOTINTAS COM TINTAS E MATS CONSTR LTDA","01916409000115","SP","VOTORANTIM","R PAULA NEY,1203-,18110-045"
"A C BALSALOBRE MAT DE CONSTRUCAO LTDA","09640552000139","SP","CAMPINAS","AV SUACUNA,205-,13054-105"
"A R OLIVEIRA EIRELI","63594923000139","AC","RIO BRANCO","R RIO DE JANEIRO,1115-,69909-710"
"AEROTINTAS COMERCIAL LTDA","67331538000311","SP","SAO PAULO","AV  MORUMBI,8281-,04703-004"
"AGRO COMERCIAL AFUBRA LTDA","74072513000578","RS","VENANCIO AIRES","R OSVALDO ARANHA,1659-,95800-000"
"AGUINALDO FERREIRA ALONSO ME","02929692000182","RO","PORTO VELHO","AV BRASILIA,1352-,76841-000"
"AJ BOZOLI TINTAS","96659255000130","SP","SAO JOSE DO RIO PRETO","R GEN GLICERIO,4299-,15015-400"
"AL COMERCIO VAREJISTA DE TINTAS LTDA ME","27118642000146","BA","SALVADOR","AV VASCO DA GAMA,936-,40230-731"
"ALMEIDA COR E TINTAS LTDA - ME","02080798000154","MG","BELO HORIZONTE","R ITAPECERICA,969-,31210-030"
"ALMEIDA E MAIA MAT DE CONSTRUCAO LTDA","08678892000196","MG","MONTES CLAROS","AV DEPUTADO PLINIO RIBEIRO,490-,39401-222"
"ALPENDRE TINTAS E FERRAGENS LTDA EPP","08205216000103","SP","SAO PAULO","AV  MUTINGA,1635-,05110-000"
"ALPENDRE TINTAS E FERRAGENS LTDA EPP","08205216000103","SP","SAO PAULO","AV  MUTINGA,1635-,05110-000"
"ALVES DE LIMA & ZORDAN LTDA EPP","01530258000162","SP","RIBEIRAO PRETO","AV  MONTEIRO LOBATO,1020-,14030-520"
"AMARELO ANIL TINTAS LTDA EPP","65621377000103","SP","SAO PAULO","R NATINGUI,721-,05443-000"
"AMARELO ANIL TINTAS LTDA EPP","65621377000103","SP","SAO PAULO","R NATINGUI,721-,05443-000"
"AMERICA COM DE TINTAS DE MARILIA LTDA","07653260000105","SP","MARILIA","AV TIRADENTES,1293-LETRA B,17500-022"
"ANTONACCI TINTAS LTDA ME","03908705000108","MG","CONTAGEM","R TIRADENTES 2928 3 SECAO,2928-SECAO,32230-020"
"ARMAZEM BEIRA MAR LTDA","35533991000152","PE","RECIFE","AV DOMINGOS FERREIRA,40-,51011-050"
"ARMAZEM CORAL LTDA","11623188000140","PE","RECIFE","R DAS CALCADAS-C/RUA PADRE FLORIANO,174-196/208-35/47/63/67,50020-290"
"ARMAZEM DAS CORES COM DE TINTAS LTDA","06262104000231","SP","ITAQUAQUECETUBA","EST ALBERTO HINOTO,6080-,08588-001"
