"08 - Cliente Código","09 - Cliente Nome","22 - Escritório de vendas Nome","35 - UF","25 - Segmentação Nome","Vendedor_Desc","Cliente_Cidade","Rua e nº","Bairro","Código postal"
"194593","MOEMA COM MAT CONSTR LTDA","SP I (Cap. Litoral)","SP","Grande - 1","Albert Schaustz Pascuineli","SAO PAULO","AL DOS MARACATINS 1252","INDIANOPOLIS","04089-003"
"40557","DEP MAT CONSTR IRMAOS SUGUIURA LTDA","SP I (Cap. Litoral)","SP","Grande - 1","Cleber  Dos Santos","SAO PAULO","R AGOSTINHO DE FARIA 54","CID LIDER","08280-100"
"81954","COBERTURA WATANABE LTDA","SP I (Cap. Litoral)","SP","Grande - 1","L K A Representacao Comercial","SAO PAULO","AV GEN PENHA BRASIL 397","VL NOVA CACHOEIRINHA","02673-000"
"24298","FELIX & ANTUNES LTDA","SP I (Cap. Litoral)","SP","Grande - 1","Jose Ricardo De Azevedo","SAO PAULO","AV ENG CAETANO ALVARES 3520","IMIRIM","02546-000"
"151339","YABIKU MAT CONSTR LTDA","SP I (Cap. Litoral)","SP","Grande - 1","Albert Schaustz Pascuineli","SAO PAULO","ESTR ANTIGA DO MAR 13","AMERICANOPOLIS","04413-000"
"262842","TIAGO TAVARES DE ALMEIDA ME","SP I (Cap. Litoral)","SP","Grande - 1","Albert Schaustz Pascuineli","SAO PAULO","R WILSON CANTONI 310","PQ PRIMAVERA","04467-150"
"203333","COM MAT CONSTR JOLI LTDA","Home Center","SP","Home Center Regional","Edison Jose Gil","SAO PAULO","R MATEUS JOSE 101","JD ANDARAI","02166-000"
"156552","COM MAT CONSTR JOLI LTDA","Home Center","SP","Home Center Regional","Edison Jose Gil","SAO PAULO","R SABBADO D ANGELO 1950, 2270","ITAQUERA","08210-791"
"219824","COM MAT CONSTR JOLI LTDA","Home Center","SP","Home Center Regional","Edison Jose Gil","SAO PAULO","ESTR ITAQUERA-GUAIANAZES 1877","JD HELENA","08420-000"
"46151","COM MAT CONSTR JOLI LTDA","Home Center","SP","Home Center Regional","Edison Jose Gil","SAO PAULO","AV MAL TITO 2300","ITAIM PAULISTA","08022-000"
"184384","SAINT GOBAIN DISTR BRASIL LTDA","Home Center","SP","Home Center Nacional","Celso Ricardo Amorim De Sousa","SAO PAULO","AV PRES CASTELO BRANCO 8067","PQ RESID DA LAPA","05034-000"
"232040","BMB MATERIAL DE CONSTRUCAO SA","Home Center","SP","Home Center Nacional","Anacleto  Alves","SAO PAULO","AV DO ESTADO 6313","MOOCA","03105-005"
"58112","SAINT GOBAIN DISTR BRASIL LTDA","Home Center","SP","Home Center Nacional","Celso Ricardo Amorim De Sousa","SAO PAULO","R COM GIL PINHEIRO 463, BL 1","TATUAPE  LOJA ARICANDUVA","03406-000"
"54160","SAINT GOBAIN DISTRIBUICAO BRASIL LT","Home Center","SP","Home Center Nacional","Celso Ricardo Amorim De Sousa","SAO PAULO","AV PRESIDENTE CASTELO BRANCO 7","AGUA BRANCA","05034-000"
"77860","CONSTRUDECOR SA","Home Center","SP","Home Center Nacional","Rogerio Moreira De Godoy","SAO PAULO","AV SAO MIGUEL 8201","SAO MIGUEL PAULISTA","08070-001"
"236717","CONSTRUDECOR SA","Home Center","SP","Home Center Nacional","Rogerio Moreira De Godoy","SAO PAULO","AV MARGINAL DIREITA ANC SN, KM","JD SANTA CRUZ SACOMA","04182-001"
"38047","SAINT GOBAIN DISTR BRASIL LTDA","Home Center","SP","Home Center Nacional","Celso Ricardo Amorim De Sousa","SAO PAULO","AV PROF ABRAHAO DE MORAES 2200","JD DA SAUDE   LOJA IMIGRA","04123-010"
"69971","SAINT GOBAIN DISTR BRASIL LTDA","Home Center","SP","Home Center Nacional","Celso Ricardo Amorim De Sousa","SAO PAULO","AV ROQUE PETRONI JUNIOR 1226","JD DAS ACACIAS  MORUMBI","04707-000"
"57498","SAINT GOBAIN DISTR BRASIL LTDA","Home Center","SP","Home Center Nacional","Celso Ricardo Amorim De Sousa","SAO PAULO","R DA COROA 1396","VL GUILHERME  ZONA NORTE","02047-020"
"69120","SAINT GOBAIN DISTR BRASIL LTDA","Home Center","SP","Home Center Nacional","Celso Ricardo Amorim De Sousa","SAO PAULO","R COM GIL PINHEIRO 463, BL 2","TATUAPE  PRO ARICANDUVA","03406-000"
"108402","SAINT GOBAIN DISTR BRASIL LTDA","Home Center","SP","Home Center Nacional","Celso Ricardo Amorim De Sousa","SAO PAULO","R NSA SRA DO BOM CONSELHO 170","CAMPO LIMPO","05763-470"
"114171","SAINT GOBAIN DISTR BRASIL LTDA","Home Center","SP","Home Center Nacional","Celso Ricardo Amorim De Sousa","SAO PAULO","AV ARICANDUVA 6470","VL CALIFORNIA  CL ARICAND","03490-000"
"90175","CONSTRUDECOR SA","Home Center","SP","Home Center Nacional","Rogerio Moreira De Godoy","SAO PAULO","AV CEL SEZEFREDO FAGUNDES 1855","TUCURUVI","02306-000"
"41211","V C R MAT CONSTR LTDA EPP","SP I (Cap. Litoral)","SP","Medio A - 1","Camila Oliveira Dos Santos","SAO PAULO","PC TOKIO 7","JD JAPAO","02132-150"
"37791","T TORRES COM MAT CONSTR GERAL LTDA","SP I (Cap. Litoral)","SP","Medio A - 1","Rbs Valentina Representacoes L","SAO PAULO","R JOSE MASCARENHAS 1759","VL MATILDE","03515-000"
"161206","ALFA COML PREST SERVICOS LTDA EPP","SP I (Cap. Litoral)","SP","Medio A - 1","Jose Ricardo De Azevedo","SAO PAULO","AV MARIA COELHO AGUIAR 872","JD SAO LUIS","05805-000"
